ticker,name,city,isin,status
A1CAP,A1 CAPİTAL YATIRIM MENKUL DEĞERLER A.Ş.,İSTANBUL,TREA1CP00024,STOCK
A1YEN,A1 YENİLENEBİLİR ENERJİ ÜRETİM A.Ş.,İSTANBUL,,UNRESOLVED
AAGYO,AĞAOĞLU AVRASYA GAYRİMENKUL YATIRIM ORTAKLIĞI A.Ş.,İSTANBUL,TREAGVR00014,STOCK
ACP,A1 CAPİTAL YATIRIM MENKUL DEĞERLER A.Ş.,İSTANBUL,,DUPLICATE (see A1CAP)
ACSEL,ACISELSAN ACIPAYAM SELÜLOZ SANAYİ VE TİCARET A.Ş.,DENİZLİ,TREACSS00017,STOCK
ADEL,ADEL KALEMCİLİK TİCARET VE SANAYİ A.Ş.,KOCAELİ,TRAADELW91T1,STOCK
ADESE,ADESE GAYRİMENKUL YATIRIM A.Ş.,KONYA,TREADSE00015,STOCK
ADGYO,ADRA GAYRİMENKUL YATIRIM ORTAKLIĞI A.Ş.,İZMİR,TREADRA00023,STOCK
ADLVY,ADİL VARLIK YÖNETİM A.Ş.,İSTANBUL,,NON_EQUITY
AEFES,ANADOLU EFES BİRACILIK VE MALT SANAYİİ A.Ş.,,TRAAEFES91A9,STOCK
AFB,AKTİF YATIRIM BANKASI A.Ş.,İSTANBUL,,NON_EQUITY
AFYON,AFYON ÇİMENTO SANAYİ T.A.Ş.,İSTANBUL,TRAAFYON91F6,STOCK
AGESA,AGESA HAYAT VE EMEKLİLİK A.Ş.,İSTANBUL,TRECUHE00018,STOCK
AGHOL,AG ANADOLU GRUBU HOLDİNG A.Ş.,İSTANBUL,TRAYAZIC91Q6,STOCK
AGROT,AGROTECH YÜKSEK TEKNOLOJİ VE YATIRIM A.Ş.,İSTANBUL,TREAGRT00018,STOCK
AGYO,ATAKULE GAYRİMENKUL YATIRIM ORTAKLIĞI A.Ş.,ANKARA,TRAAGYOW91Q2,STOCK
AHGAZ,AHLATCI DOĞAL GAZ DAĞITIM ENERJİ VE YATIRIM A.Ş.,İSTANBUL,TREAHLA00019,STOCK
AHSGY,AHES GAYRİMENKUL YATIRIM ORTAKLIĞI A.Ş.,İSTANBUL,TREAHES00016,STOCK
AKBNK,AKBANK T.A.Ş.,İSTANBUL,TRAAKBNK91N6,STOCK
AKCNS,AKÇANSA ÇİMENTO SANAYİ VE TİCARET A.Ş.,İSTANBUL,TRAAKCNS91F3,STOCK
AKCVR,AKADEMİ ÇEVRE ENTEGRE ATIK YÖNETİMİ ENDÜSTRİ A.Ş.,İSTANBUL,,UNRESOLVED
AKDFA,AKDENİZ FAKTORİNG A.Ş.,İSTANBUL,,NON_EQUITY
AKENR,AKENERJİ ELEKTRİK ÜRETİM A.Ş.,İSTANBUL,TRAAKENR91L9,STOCK
AKFGY,AKFEN GAYRİMENKUL YATIRIM ORTAKLIĞI A.Ş.,İSTANBUL,TREAKFG00012,STOCK
AKFIS,AKFEN İNŞAAT TURİZM VE TİCARET A.Ş.,ANKARA,TREAKFI00018,STOCK
AKFK,AK FİNANSAL KİRALAMA A.Ş.,İSTANBUL,,NON_EQUITY
AKFYE,AKFEN YENİLENEBİLİR ENERJİ A.Ş.,ANKARA,TREAKFY00015,STOCK
AKGRT,AKSİGORTA A.Ş.,İSTANBUL,TRAAKGRT91O5,STOCK
AKHAN,AKHAN UN FABRİKASI VE TARIM ÜRÜNLERİ GIDA SANAYİ TİCARET A.Ş.,ADANA,TREAKHN00014,STOCK
AKM,AK YATIRIM MENKUL DEĞERLER A.Ş.,İSTANBUL,,NON_EQUITY
AKMEN,AK YATIRIM MENKUL DEĞERLER A.Ş.,İSTANBUL,,NON_EQUITY
AKMGY,AKMERKEZ GAYRİMENKUL YATIRIM ORTAKLIĞI A.Ş.,İSTANBUL,TREAKMG00018,STOCK
AKSA,AKSA AKRİLİK KİMYA SANAYİİ A.Ş.,YALOVA,TRAAKSAW91E1,STOCK
AKSEN,AKSA ENERJİ ÜRETİM A.Ş.,İSTANBUL,TREAKSN00011,STOCK
AKSFA,AK FAKTORİNG A.Ş.,İSTANBUL,,NON_EQUITY
AKSGY,AKİŞ GAYRİMENKUL YATIRIM ORTAKLIĞI A.Ş.,İSTANBUL,TREAIGY00017,STOCK
AKSUE,AKSU ENERJİ VE TİCARET A.Ş.,ISPARTA,TRAAKSUE91L2,STOCK
AKTIF,AKTİF YATIRIM BANKASI A.Ş.,İSTANBUL,,NON_EQUITY
AKTVK,AKTİF BANK SUKUK VARLIK KİRALAMA A.Ş.,İSTANBUL,,NON_EQUITY
AKYHO,AKDENİZ YATIRIM HOLDİNG A.Ş.,İSTANBUL,TREAKGH00018,STOCK
ALARK,ALARKO HOLDİNG A.Ş.,İSTANBUL,TRAALARK91Q0,STOCK
ALBRK,ALBARAKA TÜRK KATILIM BANKASI A.Ş.,İSTANBUL,TREALBK00011,STOCK
ALCAR,ALARKO CARRIER SANAYİ VE TİCARET A.Ş.,İSTANBUL,TRAALRSA91H2,STOCK
ALCTL,ALCATEL LUCENT TELETAŞ TELEKOMÜNİKASYON A.Ş.,İSTANBUL,TRAALCTL91H9,STOCK
ALFAS,ALFA SOLAR ENERJİ SANAYİ VE TİCARET A.Ş.,ANKARA,TREALFS00023,STOCK
ALGYO,ALARKO GAYRİMENKUL YATIRIM ORTAKLIĞI A.Ş.,İSTANBUL,TRAALGYO91Q5,STOCK
ALJF,ALJ FİNANSMAN A.Ş.,İSTANBUL,,NON_EQUITY
ALK,ALBARAKA TÜRK KATILIM BANKASI A.Ş.,İSTANBUL,,DUPLICATE (see ALBRK)
ALKA,ALKİM KAĞIT SANAYİ VE TİCARET A.Ş.,İZMİR,TRAALKAW91D8,STOCK
ALKIM,ALKİM ALKALİ KİMYA A.Ş.,İSTANBUL,TRAALKIM91E0,STOCK
ALKLC,ALTINKILIÇ GIDA VE SÜT SANAYİ TİCARET A.Ş.,İSTANBUL,TREALTK00013,STOCK
ALNUS,ALNUS YATIRIM MENKUL DEĞERLER A.Ş.,İSTANBUL,,NON_EQUITY
ALTNY,ALTINAY SAVUNMA TEKNOLOJİLERİ A.Ş.,İSTANBUL,TREALTA00014,STOCK
ALVES,ALVES KABLO SANAYİ VE TİCARET A.Ş.,ANKARA,TREALVS00012,STOCK
