ticker,name,city,isin
A1CAP,A1 CAPİTAL YATIRIM MENKUL DEĞERLER A.Ş.,İSTANBUL,TREA1CP00024
AAGYO,AĞAOĞLU AVRASYA GAYRİMENKUL YATIRIM ORTAKLIĞI A.Ş.,İSTANBUL,TREAGVR00014
ACSEL,ACISELSAN ACIPAYAM SELÜLOZ SANAYİ VE TİCARET A.Ş.,DENİZLİ,TREACSS00017
ADEL,ADEL KALEMCİLİK TİCARET VE SANAYİ A.Ş.,KOCAELİ,TRAADELW91T1
ADESE,ADESE GAYRİMENKUL YATIRIM A.Ş.,KONYA,TREADSE00015
ADGYO,ADRA GAYRİMENKUL YATIRIM ORTAKLIĞI A.Ş.,İZMİR,TREADRA00023
AEFES,ANADOLU EFES BİRACILIK VE MALT SANAYİİ A.Ş.,,TRAAEFES91A9
AFYON,AFYON ÇİMENTO SANAYİ T.A.Ş.,İSTANBUL,TRAAFYON91F6
AGESA,AGESA HAYAT VE EMEKLİLİK A.Ş.,İSTANBUL,TRECUHE00018
AGHOL,AG ANADOLU GRUBU HOLDİNG A.Ş.,İSTANBUL,TRAYAZIC91Q6
AGROT,AGROTECH YÜKSEK TEKNOLOJİ VE YATIRIM A.Ş.,İSTANBUL,TREAGRT00018
AGYO,ATAKULE GAYRİMENKUL YATIRIM ORTAKLIĞI A.Ş.,ANKARA,TRAAGYOW91Q2
AHGAZ,AHLATCI DOĞAL GAZ DAĞITIM ENERJİ VE YATIRIM A.Ş.,İSTANBUL,TREAHLA00019
AHSGY,AHES GAYRİMENKUL YATIRIM ORTAKLIĞI A.Ş.,İSTANBUL,TREAHES00016
AKBNK,AKBANK T.A.Ş.,İSTANBUL,TRAAKBNK91N6
AKCNS,AKÇANSA ÇİMENTO SANAYİ VE TİCARET A.Ş.,İSTANBUL,TRAAKCNS91F3
AKENR,AKENERJİ ELEKTRİK ÜRETİM A.Ş.,İSTANBUL,TRAAKENR91L9
AKFGY,AKFEN GAYRİMENKUL YATIRIM ORTAKLIĞI A.Ş.,İSTANBUL,TREAKFG00012
AKFIS,AKFEN İNŞAAT TURİZM VE TİCARET A.Ş.,ANKARA,TREAKFI00018
AKFYE,AKFEN YENİLENEBİLİR ENERJİ A.Ş.,ANKARA,TREAKFY00015
AKGRT,AKSİGORTA A.Ş.,İSTANBUL,TRAAKGRT91O5
AKHAN,AKHAN UN FABRİKASI VE TARIM ÜRÜNLERİ GIDA SANAYİ TİCARET A.Ş.,ADANA,TREAKHN00014
AKMGY,AKMERKEZ GAYRİMENKUL YATIRIM ORTAKLIĞI A.Ş.,İSTANBUL,TREAKMG00018
AKSA,AKSA AKRİLİK KİMYA SANAYİİ A.Ş.,YALOVA,TRAAKSAW91E1
AKSEN,AKSA ENERJİ ÜRETİM A.Ş.,İSTANBUL,TREAKSN00011
AKSGY,AKİŞ GAYRİMENKUL YATIRIM ORTAKLIĞI A.Ş.,İSTANBUL,TREAIGY00017
AKSUE,AKSU ENERJİ VE TİCARET A.Ş.,ISPARTA,TRAAKSUE91L2
AKYHO,AKDENİZ YATIRIM HOLDİNG A.Ş.,İSTANBUL,TREAKGH00018
ALARK,ALARKO HOLDİNG A.Ş.,İSTANBUL,TRAALARK91Q0
ALBRK,ALBARAKA TÜRK KATILIM BANKASI A.Ş.,İSTANBUL,TREALBK00011
ALCAR,ALARKO CARRIER SANAYİ VE TİCARET A.Ş.,İSTANBUL,TRAALRSA91H2
ALCTL,ALCATEL LUCENT TELETAŞ TELEKOMÜNİKASYON A.Ş.,İSTANBUL,TRAALCTL91H9
ALFAS,ALFA SOLAR ENERJİ SANAYİ VE TİCARET A.Ş.,ANKARA,TREALFS00023
ALGYO,ALARKO GAYRİMENKUL YATIRIM ORTAKLIĞI A.Ş.,İSTANBUL,TRAALGYO91Q5
ALKA,ALKİM KAĞIT SANAYİ VE TİCARET A.Ş.,İZMİR,TRAALKAW91D8
ALKIM,ALKİM ALKALİ KİMYA A.Ş.,İSTANBUL,TRAALKIM91E0
ALKLC,ALTINKILIÇ GIDA VE SÜT SANAYİ TİCARET A.Ş.,İSTANBUL,TREALTK00013
ALTNY,ALTINAY SAVUNMA TEKNOLOJİLERİ A.Ş.,İSTANBUL,TREALTA00014
ALVES,ALVES KABLO SANAYİ VE TİCARET A.Ş.,ANKARA,TREALVS00012
ANELE,ANEL ELEKTRİK PROJE TAAHHÜT VE TİCARET A.Ş.,İSTANBUL,TREAEPT00017
ANGEN,ANATOLİA TANI VE BİYOTEKNOLOJİ ÜRÜNLERİ ARAŞTIRMA GELİŞTİRME SANAYİ VE TİCARET A.Ş.,,TREANGN00028
ANHYT,ANADOLU HAYAT EMEKLİLİK A.Ş.,İSTANBUL,TRAANHYT91O3
ANSGR,ANADOLU ANONİM TÜRK SİGORTA ŞİRKETİ,İSTANBUL,TRAANSGR91O1
ARASE,DOĞU ARAS ENERJİ YATIRIMLARI A.Ş.,ERZURUM,TREARAS00039
ARCLK,ARÇELİK A.Ş.,İSTANBUL,TRAARCLK91H5
ARDYZ,ARD GRUP BİLİŞİM TEKNOLOJİLERİ A.Ş.,ANKARA,TREARDY00023
ARENA,ARENA BİLGİSAYAR SANAYİ VE TİCARET A.Ş.,İSTANBUL,TRAARENA91U1
ARFYE,ARF BİO YENİLENEBİLİR ENERJİ ÜRETİM A.Ş.,ANKARA,TREARFB00018
ARMGD,ARMADA GIDA TİCARET SANAYİ A.Ş.,MERSİN,TREARDG00020
ARSAN,ARSAN HOLDİNG A.Ş.,KAHRAMANMARAŞ,TRAARSAN91B1
ARTMS,ARTEMİS HALI A.Ş.,İSTANBUL,TREATMS00014
ARZUM,ARZUM ELEKTRİKLİ EV ALETLERİ SANAYİ VE TİCARET A.Ş.,İSTANBUL,TREAZEV00020
ASELS,ASELSAN ELEKTRONİK SANAYİ VE TİCARET A.Ş.,ANKARA,TRAASELS91H2
ASGYO,ASCE GAYRİMENKUL YATIRIM ORTAKLIĞI A.Ş.,GAZİANTEP,TREASCE00033
ASTOR,ASTOR ENERJİ A.Ş.,ANKARA,TREASTR00013
